    BXA nested sampling keep shorter 
    burst: bn080916009
    data: GBMwLAT
    model: grbm 
    prob                        cstat                      alpha                        beta                      enaught                    norm
    0.580232264173952600E-97    0.767519291725711469E+03   -0.117422659734782897E+01   -0.259683999950228728E+01    0.307402784650785270E+04   -0.188102596818358236E+01
    0.825930530322630452E-97    0.766810627350898471E+03   -0.118346318312993937E+01   -0.234213515828646113E+01    0.113368570141486384E+04   -0.188997650116985128E+01
    0.907699828945448254E-97    0.766619321205246706E+03   -0.120975723730997231E+01   -0.232624196837350539E+01    0.220681204714267960E+04   -0.184206411011681936E+01
    0.955000384082971470E-97    0.766515225198091684E+03   -0.889707544781112247E+00   -0.202293473650057365E+01    0.197337181506063843E+03   -0.160266619226679197E+01
    0.129468003227750789E-96    0.765904110954851035E+03   -0.125247940916073830E+01   -0.214618490627231928E+01    0.695876699502335782E+03   -0.181510187275868518E+01
    0.149557090169032361E-96    0.765613122109475512E+03   -0.105495329108212488E+01   -0.248115026643103231E+01    0.145000717120284162E+04   -0.183955240794901798E+01
    0.150536698475792844E-96    0.765597564701113470E+03   -0.124103182286177471E+01   -0.253929777062589146E+01    0.327205570727825443E+04   -0.192540790756277858E+01
    0.153930137713641100E-96    0.765550480800881815E+03   -0.113206104163160148E+01   -0.251676018686638869E+01    0.111986634298227659E+04   -0.181102301127037535E+01
    0.159272182183922132E-96    0.765479749344765310E+03   -0.110112693471000789E+01   -0.243949845072090721E+01    0.176358253408061546E+04   -0.183518788690668266E+01
    0.212373481272722773E-96    0.764901785639810896E+03   -0.115601704758785218E+01   -0.258372491364560908E+01    0.268229947020897771E+04   -0.189729262092787998E+01
    0.251064039495385263E-96    0.764564562409383939E+03   -0.126542397926829864E+01   -0.229477408795899063E+01    0.166663334174903025E+04   -0.181367722300810996E+01
    0.298159476177725164E-96    0.764218221500787308E+03   -0.131394921896653294E+01   -0.252262841870547394E+01    0.437867461603429183E+04   -0.189043394005507892E+01
    0.313260153630280838E-96    0.764116910483277820E+03   -0.943289820060741135E+00   -0.239189413037417342E+01    0.676457159899070234E+03   -0.180652018074244047E+01
    0.431005271544385272E-96    0.763476237855446357E+03   -0.130016239516186793E+01   -0.220384780903029576E+01    0.114015428058460361E+04   -0.183750492467359017E+01
    0.430831241117897558E-96    0.763474545574433932E+03   -0.116318019081429647E+01   -0.267261027048425692E+01    0.258321388168068506E+04   -0.187168128652196231E+01
    0.433094586173495821E-96    0.763461566201495543E+03   -0.956045326897992709E+00   -0.240527627932355692E+01    0.645006699271450543E+03   -0.179712186440158206E+01
    0.727516281198456936E-96    0.762421705740528296E+03   -0.132162837196844762E+01   -0.245202461490176571E+01    0.394978736111087574E+04   -0.188837112522465134E+01
    0.837336881985122477E-96    0.762138025543526169E+03   -0.108589021627065208E+01   -0.249202099799070886E+01    0.170819698310329500E+04   -0.184059547820506353E+01
    0.956969562470730100E-96    0.761868435325834412E+03   -0.124929737542437103E+01   -0.222660845363360771E+01    0.115751786931954848E+04   -0.189482127518314059E+01
    0.101749491073915206E-95    0.761743280666279816E+03   -0.122627682538613492E+01   -0.256928263924963218E+01    0.377657015362297943E+04   -0.189322466851778515E+01
    0.120797466892142491E-95    0.761397577679749133E+03   -0.123191827544525268E+01   -0.249490482067646546E+01    0.348699965054551421E+04   -0.191070086993634014E+01
    0.131070181886561077E-95    0.761231842472767084E+03   -0.109312453522541375E+01   -0.230644055914082990E+01    0.125392723489879063E+04   -0.179661838479376179E+01
    0.130948355007452975E-95    0.761231202293668844E+03   -0.126268486752313258E+01   -0.230756383860344005E+01    0.268025623644307097E+04   -0.187761015665012287E+01
    0.139929629427841099E-95    0.761096029012847112E+03   -0.929826442016635113E+00   -0.239382964847353641E+01    0.499110209891876252E+03   -0.174385598415761578E+01
    0.190000516492548341E-95    0.760481754730361786E+03   -0.133240149341436620E+01   -0.247265776322779818E+01    0.393724089127671050E+04   -0.190666912890031881E+01
    0.236454477320050080E-95    0.760041796902439501E+03   -0.119074174369120023E+01   -0.256945619483490351E+01    0.282969847711344346E+04   -0.184692287960252344E+01
    0.251057154352989325E-95    0.759919447071846662E+03   -0.122466324721598774E+01   -0.268509728822813099E+01    0.300862908805598136E+04   -0.189751810918101249E+01
    0.258130780960576939E-95    0.759861375592563604E+03   -0.123421606973312592E+01   -0.235797694638539479E+01    0.187015421893944949E+04   -0.181070351448498101E+01
    0.265294519189877601E-95    0.759804127107408249E+03   -0.104239349540847215E+01   -0.248166449495453456E+01    0.876833622269317061E+03   -0.179651517141342687E+01
    0.302659722480430548E-95    0.759538090018792218E+03   -0.116760871421969625E+01   -0.250345482817834686E+01    0.139858818348735485E+04   -0.187238639203993174E+01
    0.342535058633003703E-95    0.759288060284566882E+03   -0.121982162132800198E+01   -0.262310513923177169E+01    0.211939419647541945E+04   -0.186334110958991417E+01
    0.443161552101673358E-95    0.758770439549445314E+03   -0.109203656576374897E+01   -0.256225207424140766E+01    0.154727092087367896E+04   -0.184589283059576736E+01
    0.509396334123488665E-95    0.758489355579319295E+03   -0.125449779997754440E+01   -0.261005535810501588E+01    0.237424511845170082E+04   -0.187308168537659370E+01
    0.603219210528075639E-95    0.758148746983680894E+03   -0.122315652474208036E+01   -0.244503681920747784E+01    0.124305045756550726E+04   -0.184987145760606708E+01
    0.634994449214878653E-95    0.758043575796517871E+03   -0.113142774132106716E+01   -0.232655385928035674E+01    0.135217515545324682E+04   -0.179099632693861111E+01
    0.668735950235797786E-95    0.757937529733446581E+03   -0.127946974019915594E+01   -0.258869136461486793E+01    0.395715723252282578E+04   -0.186431275236432015E+01
    0.676436610025119563E-95    0.757912130830688966E+03   -0.118496555534775894E+01   -0.245528516600838298E+01    0.168128149612153607E+04   -0.180099832515155178E+01
    0.699631694044522471E-95    0.757842200221014650E+03   -0.118943712414251479E+01   -0.211929267967146195E+01    0.539186107219810538E+03   -0.175077478188972968E+01
    0.750468025624787451E-95    0.757699414219302298E+03   -0.127145868857398270E+01   -0.227087304317612571E+01    0.210677573530442214E+04   -0.184295055919262651E+01
    0.923567593872014875E-95    0.757281820331221866E+03   -0.125603113886455020E+01   -0.262723426640063451E+01    0.413651122658199711E+04   -0.191263598349169150E+01
    0.101353882665808702E-94    0.757093401762162330E+03   -0.678852450625180737E+00   -0.206485110501161806E+01    0.205944766546059924E+03   -0.156038061547134888E+01
    0.119609696118003876E-94    0.756759670306548514E+03   -0.128913542399479297E+01   -0.233630207316966843E+01    0.253753845560268428E+04   -0.192226313619174327E+01
    0.119733824395105823E-94    0.756755095827357081E+03   -0.115267533258725230E+01   -0.259574094363511065E+01    0.208832531467923718E+04   -0.183460577939535163E+01
    0.173135358385977280E-94    0.756014990711482710E+03   -0.109796924897089987E+01   -0.238069996307035048E+01    0.151412445295097882E+04   -0.189758147420845980E+01
    0.180940408994298829E-94    0.755924302635488289E+03   -0.732022874477197050E+00   -0.219012078675921185E+01    0.205252594219107863E+03   -0.162021097124375046E+01
    0.202013194436000374E-94    0.755701472096934822E+03   -0.124431424009349456E+01   -0.266646445242836272E+01    0.417235204198582414E+04   -0.188690060705259555E+01
    0.246455910682578938E-94    0.755301271893137255E+03   -0.114902634882456844E+01   -0.250011212849411102E+01    0.234541661033155333E+04   -0.190496066275244580E+01
    0.331586027564067868E-94    0.754705363553538518E+03   -0.132972986076217303E+01   -0.251272645471258471E+01    0.364755459150154502E+04   -0.187904717502960672E+01
    0.366511256831677549E-94    0.754502579654918691E+03   -0.131743647502154992E+01   -0.241298753282727496E+01    0.332270110520743901E+04   -0.191814677868079997E+01
    0.431319942455730063E-94    0.754174437844251997E+03   -0.122732111044342851E+01   -0.240669327485760665E+01    0.301321761365557131E+04   -0.190438503961900452E+01
    0.518507350750167972E-94    0.753803729716406679E+03   -0.106086003551685515E+01   -0.235616474220903616E+01    0.962324493165839954E+03   -0.176300452390018414E+01
    0.522141003550188372E-94    0.753787262779150865E+03   -0.103231048024303362E+01   -0.245826118156629914E+01    0.109144395511557991E+04   -0.180277479280305997E+01
    0.537822237456756131E-94    0.753725581941622863E+03   -0.113693881902587179E+01   -0.248029054024062035E+01    0.233469673347155549E+04   -0.187122639372193511E+01
    0.544208792899846372E-94    0.753699472158056551E+03   -0.132693294144176122E+01   -0.238838610913668870E+01    0.243844527198690093E+04   -0.190085167460096649E+01
    0.558773875418040678E-94    0.753644148375311943E+03   -0.130552268708155950E+01   -0.240920494906186811E+01    0.367891552719502624E+04   -0.190257168713723601E+01
    0.752890976623530227E-94    0.753045297261537030E+03   -0.126694393065850086E+01   -0.261300271199188572E+01    0.265245457135565812E+04   -0.185526762791869260E+01
    0.769249001582978404E-94    0.752999808692867646E+03   -0.127295817575774528E+01   -0.229859819590833681E+01    0.106903402641917023E+04   -0.182650700983598746E+01
    0.842069488101221822E-94    0.752816413048904451E+03   -0.122107897419316380E+01   -0.265745122792660293E+01    0.240585743629300987E+04   -0.186068191916860926E+01
    0.851181904841160938E-94    0.752792386405548768E+03   -0.114741612991216968E+01   -0.219021791680632827E+01    0.108271691106190838E+04   -0.189086564752654773E+01
    0.105408321803017454E-93    0.752362284764506057E+03   -0.991005171178846567E+00   -0.202581992946364053E+01    0.259446204131308946E+03   -0.167552688910777370E+01
    0.113712745318630942E-93    0.752208116958454070E+03   -0.115201532871076218E+01   -0.205296203847389336E+01    0.513428398662148766E+03   -0.176615578282492436E+01
    0.141043348006966474E-93    0.751774833387854869E+03   -0.126560179982032395E+01   -0.258746773824229148E+01    0.430044977778687826E+04   -0.190005170269829904E+01
    0.141701700626434082E-93    0.751763019643017742E+03   -0.116587578619893328E+01   -0.254218291260806506E+01    0.204318866216838728E+04   -0.190238699935133937E+01
    0.153598123033254835E-93    0.751599288737856341E+03   -0.127367297449836414E+01   -0.221539933913311948E+01    0.121841844231926507E+04   -0.189055858316715053E+01
    0.162936250693799434E-93    0.751478749890924519E+03   -0.124489823412831946E+01   -0.236243694289033002E+01    0.189294441797023615E+04   -0.191892048530253589E+01
    0.174333423982066585E-93    0.751341028548722420E+03   -0.105534531190046899E+01   -0.241618727947354905E+01    0.146432948771881206E+04   -0.184960135457096264E+01
    0.220249682254289536E-93    0.750870944295151048E+03   -0.130907221438330446E+01   -0.223484985736140729E+01    0.159453049796868891E+04   -0.189343792024276780E+01
    0.238541091024618040E-93    0.750708884769663541E+03   -0.112116544454703693E+01   -0.252043052361475528E+01    0.220787470021853505E+04   -0.187333417923230172E+01
    0.249015406867854048E-93    0.750620438400419289E+03   -0.130386367167069039E+01   -0.260279607989114670E+01    0.441320991994832184E+04   -0.188336401786155783E+01
    0.291951953253499175E-93    0.750299789449308719E+03   -0.123770864153745208E+01   -0.265466699589090727E+01    0.351120849800522092E+04   -0.185811249875319540E+01
    0.291722183302982605E-93    0.750298864094803434E+03   -0.125861913354190769E+01   -0.270780815118339202E+01    0.373686172634577770E+04   -0.189972723663349718E+01
    0.331081547544583108E-93    0.750043238514987138E+03   -0.101601295845964401E+01   -0.242661306958855860E+01    0.110343297713408606E+04   -0.181311730606157440E+01
    0.335733993047819744E-93    0.750012829621351784E+03   -0.127180026583714323E+01   -0.254301766168039300E+01    0.298277379158060057E+04   -0.191781406039150859E+01
    0.371758827875206976E-93    0.749806477275733755E+03   -0.128256087994593315E+01   -0.244352345342663035E+01    0.325631640866408861E+04   -0.192490524000797159E+01
    0.376712228510797472E-93    0.749777504786720328E+03   -0.113526169616490513E+01   -0.258849972021790631E+01    0.219315186586760638E+04   -0.185010535913738039E+01
    0.388796048293396804E-93    0.749711858122102512E+03   -0.129888766920921839E+01   -0.265366669486100104E+01    0.454267494437836558E+04   -0.189383062974284577E+01
    0.411875353501484986E-93    0.749594026412402627E+03   -0.124846733180845249E+01   -0.225519695757415395E+01    0.138911616235914516E+04   -0.190619186836086030E+01
    0.510021990340670364E-93    0.749164060253255116E+03   -0.960401507609624616E+00   -0.208482907169616727E+01    0.230273990150915438E+03   -0.166599243197334701E+01
    0.627625507425727731E-93    0.748746580613782726E+03   -0.115051910159353454E+01   -0.227187694918816163E+01    0.112297096335192941E+04   -0.189864359670249883E+01
    0.693472226973262901E-93    0.748544545556803655E+03   -0.115236464153525908E+01   -0.236282465706604583E+01    0.972644162104691532E+03   -0.186939596899876648E+01
    0.726141963515236349E-93    0.748449976863980964E+03   -0.106180194196712741E+01   -0.214757839922061144E+01    0.803193931046899252E+03   -0.185333950574919903E+01
    0.735398619222221478E-93    0.748422142556906806E+03   -0.113802287071215424E+01   -0.232310084482924584E+01    0.611308230336690372E+03   -0.179946289017607697E+01
    0.736212143326625057E-93    0.748417431308639379E+03   -0.131947028990459714E+01   -0.241433576492736091E+01    0.260249698199633440E+04   -0.190758754229060301E+01
    0.762765149274195801E-93    0.748344067569886420E+03   -0.129177511853468907E+01   -0.249069126135985464E+01    0.227966932436488423E+04   -0.189138256671818006E+01
    0.765791551256870420E-93    0.748333647926640879E+03   -0.125349512283629316E+01   -0.272652731885570621E+01    0.384357262582826252E+04   -0.189347859104523408E+01
    0.785948232107430826E-93    0.748279186083859940E+03   -0.126564425258109559E+01   -0.226163183593143735E+01    0.212441844001517075E+04   -0.191100251381067388E+01
    0.925473558043787711E-93    0.747949856817162413E+03   -0.114554296207304418E+01   -0.258147109852052203E+01    0.254710838647486662E+04   -0.187438131774056593E+01
    0.947016476990107085E-93    0.747901334955104062E+03   -0.117781246897805403E+01   -0.228358708033888913E+01    0.144610237737499051E+04   -0.191082569167419614E+01
    0.991602739426296828E-93    0.747806822813883741E+03   -0.131862159821386804E+01   -0.245706549770726923E+01    0.298628921442495403E+04   -0.191130618171314026E+01
    0.100102265940230540E-92    0.747785413107813838E+03   -0.123964609229460088E+01   -0.266493389719227292E+01    0.311167383621916088E+04   -0.185278995923171053E+01
    0.113272755874683190E-92    0.747535700395366348E+03   -0.126253670937443196E+01   -0.266188737672474574E+01    0.434642213376320888E+04   -0.188795089385526893E+01
    0.113196594276360587E-92    0.747534545594637507E+03   -0.128087196098463174E+01   -0.269805221749455892E+01    0.379246182323551830E+04   -0.188179533549423539E+01
    0.128480990518456965E-92    0.747278735834107806E+03   -0.129623760368085783E+01   -0.250538800281758789E+01    0.299226716038040468E+04   -0.191547042046794758E+01
    0.141182086568587693E-92    0.747087696850775842E+03   -0.112965131154404475E+01   -0.216499043318906903E+01    0.439098435002423571E+03   -0.170866966545085219E+01
    0.160346307358857417E-92    0.746830625958990822E+03   -0.100829822042140016E+01   -0.245883606957390199E+01    0.893839251046625236E+03   -0.179876284411868959E+01
    0.164681778012691625E-92    0.746774767766240529E+03   -0.709002923239943073E+00   -0.224290794427700835E+01    0.271643464820542022E+03   -0.161041268071266153E+01
    0.214047756083013373E-92    0.746247899454690923E+03   -0.124294478800695529E+01   -0.271577978535949427E+01    0.362203155939247335E+04   -0.189608561027100286E+01
    0.219255298640494339E-92    0.746197324157319372E+03   -0.112938575043335909E+01   -0.255799158571357044E+01    0.198503518554582206E+04   -0.183705773246517978E+01
    0.238716491097976586E-92    0.746024744517297563E+03   -0.971720636275774652E+00   -0.222332748625309495E+01    0.786359649209506074E+03   -0.183255096837490505E+01
